created_at,source,text,userid_str,status_id_str,id,reply_userid_str,reply_status_id_str,name,birth,term_partisanship,term_type,term_state
2021-11-29T11:23:06Z,"[{'url': 'https://t.co/vIbud6q7Ns', 'expanded_url': 'https://politi.co/3peHllU', 'display_url': 'politi.co/3peHllU', 'indices': [104, 127]}]","A lot of huff-and-puff from the CCP:

China blowback looms for Schumer’s Innovation and Competition Act https://t.co/vIbud6q7Ns via @politico",13218102,1465280152431218689,6025266,NA,NA,John Cornyn,1952-02-02,Republican,sen,TX
2021-11-29T14:41:56Z,"[{'url': 'https://t.co/cnB8xZAzmc', 'expanded_url': 'https://abcnews.go.com/International/wireStory/taiwan-sends-jets-27-chinese-planes-enter-buffer-81431008', 'display_url': 'abcnews.go.com/International/…', 'indices': [148, 171]}]","The Chinese Communist Party has demonstrated the threat they pose, and they’re not going to stop.

We must stand with those fighting for democracy.
https://t.co/cnB8xZAzmc",278145569,1465330190960275459,6025676,NA,NA,Marsha Blackburn,1952-06-06,Republican,sen,TN
2021-11-29T14:52:57Z,"[{'url': 'https://t.co/glbCRKHaVz', 'expanded_url': 'https://www.hollywoodreporter.com/news/general-news/simpsons-china-censorship-1235053711/', 'display_url': 'hollywoodreporter.com/news/general-n…', 'indices': [222, 245]}]","Pay attention when big media corporations take marching orders from China. If they'll censor jokes to keep a genocidal Communist regime happy, what else are they willing to manipulate, censor, and lie about to Americans? 
https://t.co/glbCRKHaVz",1344416719260016641,1465332961218285575,6025348,NA,NA,Yvette Herrell,1964-03-16,Republican,rep,NM
2021-11-29T14:56:40Z,[],"When Fauci says “I am the science,” I just presume he means he is the science of experimenting with SARS-like bat viruses in China to see what could make them more infectious to humans, because he sure isn’t the science of natural immunity.",975200486,1465333897504469001,6026088,NA,NA,Thomas Massie,1971-01-13,Republican,rep,KY
2021-11-29T15:57:50Z,"[{'url': 'https://t.co/xJjPHkpkJY', 'expanded_url': 'https://www.foxbusiness.com/politics/democrats-spending-bill-wealthy-tax-credits-electric-vehicles', 'display_url': 'foxbusiness.com/politics/democ…', 'indices': [250, 273]}]","Washington Democrats’ electric vehicle tax credits for wealthy elites are about to shock your pocketbook.⚡️🔌

Their plan:

❌ Punishes hardworking taxpayers
❌ Hurts #Iowa biofuel producers &amp; Rural America
❌ Increases dependency on Communist China https://t.co/xJjPHkpkJY",2856787757,1465349291929710606,6025684,NA,NA,Joni Ernst,1970-07-01,Republican,sen,IA
2021-11-29T16:54:52Z,[],In Michigan w/ @SecRaimondo &amp; @UAW to discuss the semiconductor chip shortage affecting our workers. We must end our overreliance on foreign-made chips to protect MI jobs &amp; keep our economy moving. I support legislation in Congress to bring production back to the U.S. from China. https://t.co/4Tg32jUfjd,1045110018,1465363642451480584,6024984,NA,NA,Daniel T. Kildee,1958-08-11,Democrat,rep,MI
2021-11-29T17:06:08Z,[],"In a way, Joe Biden is right. America is coming back… back to 1979.

❌ Lost respect of the world
❌ Inflation
❌ Border is out of control
❌ Supply Chain in shambles 
❌ Threat of China increasing everyday https://t.co/oltOjoq7Hb",1343679195034103808,1465366478211932160,6025316,NA,NA,Carlos A. Gimenez,1954-01-17,Republican,rep,FL
2021-11-29T17:39:38Z,"[{'url': 'https://t.co/0u57tmrMTi', 'expanded_url': 'https://www.washingtonexaminer.com/news/dozens-of-chinese-military-aircraft-breach-taiwans-air-defense-zone-with-aerial-tanker', 'display_url': 'washingtonexaminer.com/news/dozens-of…', 'indices': [141, 164]}]","The United States stands with Taiwan against the Chinese Communist Party in the face of this attack and its increased military aggression. 

https://t.co/0u57tmrMTi",1340783304304410625,1465374909933228036,6025288,NA,NA,Ashley Hinson,1983-06-27,Republican,rep,IA
2021-11-29T20:10:03Z,"[{'url': 'https://t.co/pP3so0d8Q9', 'expanded_url': 'https://www.nytimes.com/2021/11/28/us/politics/china-nuclear-arms-race.html', 'display_url': 'nytimes.com/2021/11/28/us/…', 'indices': [201, 224]}]","It’s encouraging that the U.S. is willing to start a dialogue to bring China to the table to negotiate nuclear weapons reduction. 

We must do everything we can to eliminate the threat of nuclear war.
https://t.co/pP3so0d8Q9",31801993,1465412764130807819,6025804,NA,NA,"Frank Pallone, Jr.",1951-10-30,Democrat,rep,NJ
2021-11-29T20:56:07Z,"[{'url': 'https://t.co/nkyiJxT2Nd', 'expanded_url': 'https://twitter.com/FoxNews/status/1464640166094647307', 'display_url': 'twitter.com/FoxNews/status…', 'indices': [256, 279]}]","Communist China covered up the origins of COVID for months, costing thousands of American lives. But that won’t stop the @WHO from being its puppet &amp; working overtime to avoid offending General Secretary Xi. Just another reason we can’t trust the WHO. https://t.co/nkyiJxT2Nd",131546062,1465424357153460238,6025255,NA,NA,Rick Scott,1952-12-01,Republican,sen,FL
