,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_score,precision,recall,specificity
49,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.819,0.898,0.817,0.997,0.124
50,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.826,0.901,0.823,0.996,0.16
51,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.823,0.9,0.82,0.996,0.145
52,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.831,0.903,0.833,0.986,0.227
53,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.836,0.905,0.838,0.984,0.257
54,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.842,0.908,0.842,0.985,0.28
55,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.821,0.899,0.818,0.997,0.132
56,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.822,0.899,0.818,0.998,0.133
57,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.832,0.904,0.828,0.996,0.188
58,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.834,0.904,0.835,0.986,0.238
59,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.841,0.908,0.842,0.986,0.274
60,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.836,0.905,0.836,0.986,0.246
61,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.737,0.747,0.721,0.775,0.7
62,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.728,0.749,0.694,0.814,0.642
63,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.734,0.761,0.692,0.845,0.623
64,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.756,0.74,0.791,0.696,0.816
65,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.6, 0.2, 0.2]",2474,824,826,0.782,0.769,0.819,0.724,0.84
66,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.8, 0.1, 0.1]",3298,412,414,0.8,0.79,0.83,0.754,0.845
67,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,50,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.732,0.742,0.715,0.771,0.692
68,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,50,True,"[0.6, 0.2, 0.2]",2474,824,826,0.747,0.759,0.725,0.797,0.697
69,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,50,True,"[0.8, 0.1, 0.1]",3298,412,414,0.739,0.76,0.704,0.826,0.652
70,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,50,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.753,0.744,0.771,0.719,0.787
71,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,50,False,"[0.6, 0.2, 0.2]",2474,824,826,0.777,0.757,0.834,0.692,0.862
72,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,50,False,"[0.8, 0.1, 0.1]",3298,412,414,0.795,0.783,0.832,0.739,0.85
73,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,100,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.726,0.747,0.693,0.81,0.641
74,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,100,True,"[0.6, 0.2, 0.2]",2474,824,826,0.735,0.749,0.712,0.789,0.68
75,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,100,True,"[0.8, 0.1, 0.1]",3298,412,414,0.732,0.756,0.694,0.831,0.633
76,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,100,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.754,0.748,0.767,0.729,0.779
77,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,100,False,"[0.6, 0.2, 0.2]",2474,824,826,0.787,0.77,0.836,0.714,0.86
78,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,100,False,"[0.8, 0.1, 0.1]",3298,412,414,0.802,0.791,0.838,0.749,0.855
79,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,300,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.748,0.756,0.734,0.779,0.717
80,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,300,True,"[0.6, 0.2, 0.2]",2474,824,826,0.748,0.748,0.749,0.746,0.751
81,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,300,True,"[0.8, 0.1, 0.1]",3298,412,414,0.766,0.781,0.733,0.836,0.696
82,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,300,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.765,0.748,0.805,0.698,0.831
83,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,300,False,"[0.6, 0.2, 0.2]",2474,824,826,0.792,0.777,0.836,0.726,0.857
84,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,300,False,"[0.8, 0.1, 0.1]",3298,412,414,0.795,0.793,0.799,0.787,0.802
