,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_score,precision,recall,specificity
48,Bernoulli Naive Bayes,random_sampling,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.8,0.829,0.897,0.86,0.937,0.406
49,Bernoulli Naive Bayes,random_sampling,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.805,0.832,0.903,0.833,0.987,0.225
50,Bernoulli Naive Bayes,random_sampling,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.809,0.833,0.903,0.836,0.982,0.247
51,Bernoulli Naive Bayes,random_sampling,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.818,0.841,0.907,0.847,0.977,0.309
52,Bernoulli Naive Bayes,random_sampling,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.836,0.903,0.849,0.965,0.328
53,Bernoulli Naive Bayes,random_sampling,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.808,0.84,0.905,0.86,0.955,0.39
54,Bernoulli Naive Bayes,random_sampling,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.814,0.835,0.9,0.865,0.938,0.43
55,Bernoulli Naive Bayes,random_sampling,False,600,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.789,0.834,0.905,0.835,0.987,0.236
56,Bernoulli Naive Bayes,random_sampling,False,600,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.803,0.829,0.901,0.834,0.98,0.237
57,Bernoulli Naive Bayes,random_sampling,False,600,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.804,0.845,0.91,0.849,0.98,0.319
58,Bernoulli Naive Bayes,random_sampling,False,600,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.794,0.833,0.902,0.851,0.959,0.341
59,Bernoulli Naive Bayes,random_sampling,False,600,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.813,0.84,0.905,0.859,0.956,0.387
60,Bernoulli Naive Bayes,random_sampling,False,600,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.802,0.834,0.9,0.864,0.939,0.42
61,Bernoulli Naive Bayes,active_learning,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.753,0.734,0.76,0.693,0.843,0.626
62,Bernoulli Naive Bayes,active_learning,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.768,0.718,0.757,0.665,0.877,0.559
63,Bernoulli Naive Bayes,active_learning,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.721,0.754,0.78,0.704,0.874,0.633
64,Bernoulli Naive Bayes,active_learning,True,0,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.756,0.805,0.804,0.811,0.797,0.814
65,Bernoulli Naive Bayes,active_learning,True,0,False,"[0.6, 0.2, 0.2]",2474,824,826,0.725,0.805,0.801,0.818,0.785,0.826
66,Bernoulli Naive Bayes,active_learning,True,0,False,"[0.8, 0.1, 0.1]",3298,412,414,0.75,0.816,0.813,0.829,0.797,0.836
67,Bernoulli Naive Bayes,active_learning,True,50,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.757,0.748,0.772,0.704,0.855,0.641
68,Bernoulli Naive Bayes,active_learning,True,50,True,"[0.6, 0.2, 0.2]",2474,824,826,0.745,0.72,0.756,0.671,0.864,0.576
69,Bernoulli Naive Bayes,active_learning,True,50,True,"[0.8, 0.1, 0.1]",3298,412,414,0.757,0.756,0.786,0.701,0.894,0.618
70,Bernoulli Naive Bayes,active_learning,True,50,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.742,0.797,0.793,0.81,0.777,0.818
71,Bernoulli Naive Bayes,active_learning,True,50,False,"[0.6, 0.2, 0.2]",2474,824,826,0.772,0.803,0.799,0.816,0.782,0.823
72,Bernoulli Naive Bayes,active_learning,True,50,False,"[0.8, 0.1, 0.1]",3298,412,414,0.721,0.819,0.818,0.82,0.816,0.821
73,Bernoulli Naive Bayes,active_learning,True,100,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.744,0.745,0.771,0.7,0.857,0.634
74,Bernoulli Naive Bayes,active_learning,True,100,True,"[0.6, 0.2, 0.2]",2474,824,826,0.73,0.718,0.75,0.674,0.845,0.591
75,Bernoulli Naive Bayes,active_learning,True,100,True,"[0.8, 0.1, 0.1]",3298,412,414,0.738,0.751,0.781,0.697,0.889,0.614
76,Bernoulli Naive Bayes,active_learning,True,100,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.697,0.811,0.809,0.818,0.8,0.822
77,Bernoulli Naive Bayes,active_learning,True,100,False,"[0.6, 0.2, 0.2]",2474,824,826,0.777,0.805,0.802,0.813,0.792,0.818
78,Bernoulli Naive Bayes,active_learning,True,100,False,"[0.8, 0.1, 0.1]",3298,412,414,0.754,0.821,0.82,0.824,0.816,0.826
79,Bernoulli Naive Bayes,active_learning,True,300,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.725,0.753,0.773,0.715,0.841,0.665
80,Bernoulli Naive Bayes,active_learning,True,300,True,"[0.6, 0.2, 0.2]",2474,824,826,0.737,0.738,0.76,0.702,0.828,0.649
81,Bernoulli Naive Bayes,active_learning,True,300,True,"[0.8, 0.1, 0.1]",3298,412,414,0.756,0.758,0.782,0.713,0.865,0.652
82,Bernoulli Naive Bayes,active_learning,True,300,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.71,0.806,0.803,0.816,0.791,0.822
83,Bernoulli Naive Bayes,active_learning,True,300,False,"[0.6, 0.2, 0.2]",2474,824,826,0.728,0.822,0.814,0.852,0.78,0.864
84,Bernoulli Naive Bayes,active_learning,True,300,False,"[0.8, 0.1, 0.1]",3298,412,414,0.757,0.829,0.828,0.83,0.826,0.831
85,Bernoulli Naive Bayes,active_learning,True,600,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.743,0.739,0.757,0.709,0.812,0.667
86,Bernoulli Naive Bayes,active_learning,True,600,True,"[0.6, 0.2, 0.2]",2474,824,826,0.745,0.758,0.779,0.717,0.852,0.663
87,Bernoulli Naive Bayes,active_learning,True,600,True,"[0.8, 0.1, 0.1]",3298,412,414,0.77,0.771,0.793,0.722,0.879,0.662
88,Bernoulli Naive Bayes,active_learning,True,600,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.73,0.798,0.793,0.816,0.771,0.826
89,Bernoulli Naive Bayes,active_learning,True,600,False,"[0.6, 0.2, 0.2]",2474,824,826,0.751,0.799,0.794,0.816,0.772,0.826
90,Bernoulli Naive Bayes,active_learning,True,600,False,"[0.8, 0.1, 0.1]",3298,412,414,0.767,0.824,0.822,0.832,0.812,0.836
91,Bernoulli Naive Bayes,active_learning,False,0,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.835,0.905,0.836,0.987,0.24
92,Bernoulli Naive Bayes,active_learning,False,0,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.81,0.83,0.902,0.835,0.98,0.24
93,Bernoulli Naive Bayes,active_learning,False,0,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.807,0.833,0.903,0.839,0.978,0.266
94,Bernoulli Naive Bayes,active_learning,False,0,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.837,0.904,0.851,0.964,0.337
95,Bernoulli Naive Bayes,active_learning,False,0,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.814,0.84,0.905,0.859,0.956,0.387
96,Bernoulli Naive Bayes,active_learning,False,0,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.808,0.831,0.898,0.861,0.939,0.406
97,Bernoulli Naive Bayes,active_learning,False,50,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.795,0.833,0.904,0.836,0.983,0.246
98,Bernoulli Naive Bayes,active_learning,False,50,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.807,0.836,0.905,0.84,0.981,0.266
99,Bernoulli Naive Bayes,active_learning,False,50,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.801,0.836,0.905,0.841,0.978,0.28
100,Bernoulli Naive Bayes,active_learning,False,50,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.794,0.836,0.903,0.849,0.965,0.329
101,Bernoulli Naive Bayes,active_learning,False,50,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.81,0.844,0.908,0.859,0.962,0.38
102,Bernoulli Naive Bayes,active_learning,False,50,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.794,0.831,0.898,0.863,0.936,0.42
103,Bernoulli Naive Bayes,active_learning,False,100,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.793,0.83,0.902,0.833,0.985,0.225
104,Bernoulli Naive Bayes,active_learning,False,100,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.791,0.835,0.905,0.838,0.983,0.254
105,Bernoulli Naive Bayes,active_learning,False,100,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.8,0.841,0.907,0.845,0.979,0.3
106,Bernoulli Naive Bayes,active_learning,False,100,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.791,0.842,0.906,0.857,0.962,0.368
107,Bernoulli Naive Bayes,active_learning,False,100,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.796,0.844,0.907,0.86,0.96,0.387
108,Bernoulli Naive Bayes,active_learning,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.796,0.832,0.899,0.864,0.936,0.425
109,Bernoulli Naive Bayes,active_learning,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.771,0.833,0.904,0.837,0.983,0.248
110,Bernoulli Naive Bayes,active_learning,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.797,0.835,0.904,0.841,0.978,0.276
111,Bernoulli Naive Bayes,active_learning,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.812,0.842,0.908,0.847,0.978,0.309
112,Bernoulli Naive Bayes,active_learning,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.767,0.844,0.907,0.859,0.961,0.382
113,Bernoulli Naive Bayes,active_learning,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.794,0.846,0.908,0.868,0.952,0.431
114,Bernoulli Naive Bayes,active_learning,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.803,0.842,0.904,0.871,0.941,0.454
115,Bernoulli Naive Bayes,active_learning,False,600,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.775,0.839,0.907,0.842,0.982,0.279
116,Bernoulli Naive Bayes,active_learning,False,600,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.789,0.839,0.906,0.844,0.978,0.293
117,Bernoulli Naive Bayes,active_learning,False,600,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.803,0.844,0.909,0.847,0.98,0.309
118,Bernoulli Naive Bayes,active_learning,False,600,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.765,0.841,0.905,0.863,0.951,0.411
119,Bernoulli Naive Bayes,active_learning,False,600,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.797,0.842,0.906,0.866,0.949,0.426
120,Bernoulli Naive Bayes,active_learning,False,600,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.796,0.832,0.899,0.862,0.938,0.415
121,Random Forest Classifier,random_sampling,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.676,0.726,0.748,0.692,0.814,0.638
122,Random Forest Classifier,random_sampling,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.721,0.715,0.749,0.67,0.847,0.584
123,Random Forest Classifier,random_sampling,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.711,0.72,0.759,0.665,0.884,0.556
124,Random Forest Classifier,random_sampling,True,0,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.743,0.763,0.757,0.775,0.74,0.785
125,Random Forest Classifier,random_sampling,True,0,False,"[0.6, 0.2, 0.2]",2474,824,826,0.743,0.778,0.772,0.795,0.751,0.806
126,Random Forest Classifier,random_sampling,True,0,False,"[0.8, 0.1, 0.1]",3298,412,414,0.739,0.814,0.808,0.835,0.783,0.845
127,Random Forest Classifier,random_sampling,True,50,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.709,0.722,0.751,0.68,0.837,0.607
128,Random Forest Classifier,random_sampling,True,50,True,"[0.6, 0.2, 0.2]",2474,824,826,0.693,0.731,0.757,0.691,0.838,0.625
129,Random Forest Classifier,random_sampling,True,50,True,"[0.8, 0.1, 0.1]",3298,412,414,0.746,0.744,0.774,0.692,0.879,0.609
130,Random Forest Classifier,random_sampling,True,50,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.742,0.757,0.758,0.753,0.764,0.75
131,Random Forest Classifier,random_sampling,True,50,False,"[0.6, 0.2, 0.2]",2474,824,826,0.739,0.792,0.785,0.811,0.76,0.823
132,Random Forest Classifier,random_sampling,True,50,False,"[0.8, 0.1, 0.1]",3298,412,414,0.721,0.802,0.797,0.817,0.778,0.826
133,Random Forest Classifier,random_sampling,True,100,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.705,0.727,0.753,0.688,0.831,0.622
134,Random Forest Classifier,random_sampling,True,100,True,"[0.6, 0.2, 0.2]",2474,824,826,0.709,0.735,0.761,0.693,0.843,0.627
135,Random Forest Classifier,random_sampling,True,100,True,"[0.8, 0.1, 0.1]",3298,412,414,0.729,0.742,0.773,0.689,0.879,0.604
136,Random Forest Classifier,random_sampling,True,100,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.697,0.772,0.766,0.789,0.744,0.8
137,Random Forest Classifier,random_sampling,True,100,False,"[0.6, 0.2, 0.2]",2474,824,826,0.726,0.803,0.799,0.816,0.782,0.823
138,Random Forest Classifier,random_sampling,True,100,False,"[0.8, 0.1, 0.1]",3298,412,414,0.743,0.814,0.812,0.822,0.802,0.826
139,Random Forest Classifier,random_sampling,True,300,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.689,0.745,0.767,0.706,0.839,0.651
140,Random Forest Classifier,random_sampling,True,300,True,"[0.6, 0.2, 0.2]",2474,824,826,0.719,0.74,0.761,0.704,0.828,0.651
141,Random Forest Classifier,random_sampling,True,300,True,"[0.8, 0.1, 0.1]",3298,412,414,0.732,0.763,0.788,0.714,0.879,0.647
142,Random Forest Classifier,random_sampling,True,300,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.719,0.779,0.775,0.79,0.76,0.798
143,Random Forest Classifier,random_sampling,True,300,False,"[0.6, 0.2, 0.2]",2474,824,826,0.732,0.791,0.785,0.808,0.763,0.818
144,Random Forest Classifier,random_sampling,True,300,False,"[0.8, 0.1, 0.1]",3298,412,414,0.711,0.809,0.81,0.808,0.812,0.807
145,Random Forest Classifier,random_sampling,True,600,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.715,0.753,0.776,0.709,0.857,0.649
146,Random Forest Classifier,random_sampling,True,600,True,"[0.6, 0.2, 0.2]",2474,824,826,0.712,0.736,0.76,0.696,0.838,0.634
147,Random Forest Classifier,random_sampling,True,600,True,"[0.8, 0.1, 0.1]",3298,412,414,0.76,0.744,0.778,0.686,0.899,0.589
148,Random Forest Classifier,random_sampling,True,600,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.732,0.774,0.772,0.78,0.764,0.785
149,Random Forest Classifier,random_sampling,True,600,False,"[0.6, 0.2, 0.2]",2474,824,826,0.728,0.797,0.793,0.807,0.78,0.814
150,Random Forest Classifier,random_sampling,True,600,False,"[0.8, 0.1, 0.1]",3298,412,414,0.726,0.807,0.806,0.81,0.802,0.812
151,Random Forest Classifier,random_sampling,False,0,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.821,0.82,0.898,0.82,0.993,0.143
152,Random Forest Classifier,random_sampling,False,0,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.822,0.821,0.898,0.819,0.994,0.14
153,Random Forest Classifier,random_sampling,False,0,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.813,0.832,0.904,0.828,0.995,0.193
154,Random Forest Classifier,random_sampling,False,0,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.803,0.836,0.905,0.839,0.983,0.262
155,Random Forest Classifier,random_sampling,False,0,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.823,0.834,0.905,0.836,0.986,0.24
156,Random Forest Classifier,random_sampling,False,0,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.818,0.836,0.905,0.84,0.98,0.271
157,Random Forest Classifier,random_sampling,False,50,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.811,0.817,0.896,0.816,0.995,0.12
158,Random Forest Classifier,random_sampling,False,50,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.819,0.823,0.9,0.82,0.997,0.14
159,Random Forest Classifier,random_sampling,False,50,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.808,0.832,0.904,0.829,0.994,0.198
160,Random Forest Classifier,random_sampling,False,50,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.801,0.836,0.905,0.838,0.985,0.254
161,Random Forest Classifier,random_sampling,False,50,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.822,0.841,0.908,0.841,0.987,0.271
162,Random Forest Classifier,random_sampling,False,50,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.794,0.837,0.905,0.844,0.975,0.295
163,Random Forest Classifier,random_sampling,False,100,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.803,0.818,0.897,0.817,0.995,0.126
164,Random Forest Classifier,random_sampling,False,100,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.809,0.82,0.898,0.817,0.998,0.123
165,Random Forest Classifier,random_sampling,False,100,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.814,0.829,0.902,0.827,0.993,0.188
166,Random Forest Classifier,random_sampling,False,100,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.801,0.839,0.907,0.84,0.987,0.262
167,Random Forest Classifier,random_sampling,False,100,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.809,0.849,0.912,0.849,0.986,0.315
168,Random Forest Classifier,random_sampling,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.804,0.831,0.902,0.837,0.978,0.256
169,Random Forest Classifier,random_sampling,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.809,0.817,0.896,0.816,0.995,0.118
170,Random Forest Classifier,random_sampling,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.813,0.828,0.902,0.824,0.996,0.169
171,Random Forest Classifier,random_sampling,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.821,0.833,0.904,0.83,0.994,0.203
172,Random Forest Classifier,random_sampling,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.812,0.835,0.905,0.837,0.985,0.25
173,Random Forest Classifier,random_sampling,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.81,0.842,0.909,0.845,0.983,0.293
174,Random Forest Classifier,random_sampling,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.817,0.842,0.908,0.847,0.978,0.309
175,Random Forest Classifier,random_sampling,False,600,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.799,0.821,0.899,0.818,0.997,0.13
176,Random Forest Classifier,random_sampling,False,600,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.818,0.827,0.901,0.825,0.993,0.177
177,Random Forest Classifier,random_sampling,False,600,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.82,0.833,0.904,0.829,0.995,0.198
