,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
52,Multinomial Naive Bayes,random_sampling,False,300,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.969,0.959,0.959,0.342,0.939,0.959,0.486,0.93,0.959,0.341,0.959
53,Multinomial Naive Bayes,random_sampling,False,300,False,"[0.6, 0.2, 0.2]",4418,1471,1476,0.959,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
54,Multinomial Naive Bayes,random_sampling,False,300,False,"[0.8, 0.1, 0.1]",5891,735,739,0.963,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
55,Multinomial Naive Bayes,random_sampling,False,600,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.965,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
56,Multinomial Naive Bayes,random_sampling,False,600,True,"[0.6, 0.2, 0.2]",4418,1471,1476,0.955,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
57,Multinomial Naive Bayes,random_sampling,False,600,True,"[0.8, 0.1, 0.1]",5891,735,739,0.968,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
58,Multinomial Naive Bayes,random_sampling,False,600,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.965,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
59,Multinomial Naive Bayes,random_sampling,False,600,False,"[0.6, 0.2, 0.2]",4418,1471,1476,0.956,0.958,0.958,0.345,0.939,0.958,0.486,0.93,0.958,0.343,0.958
60,Multinomial Naive Bayes,random_sampling,False,600,False,"[0.8, 0.1, 0.1]",5891,735,739,0.968,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
61,Multinomial Naive Bayes,active_learning,True,0,True,"[0.5, 0.25, 0.25]",207,102,108,0.578,0.583,0.583,0.579,0.579,0.583,0.612,0.612,0.583,0.583,0.583
62,Multinomial Naive Bayes,active_learning,True,0,True,"[0.6, 0.2, 0.2]",249,81,87,0.4,0.632,0.632,0.626,0.626,0.632,0.633,0.633,0.632,0.632,0.632
63,Multinomial Naive Bayes,active_learning,True,0,True,"[0.8, 0.1, 0.1]",333,39,45,0.612,0.6,0.6,0.573,0.573,0.6,0.609,0.609,0.6,0.6,0.6
64,Multinomial Naive Bayes,active_learning,True,0,False,"[0.5, 0.25, 0.25]",207,102,108,0.522,0.62,0.62,0.593,0.593,0.62,0.624,0.624,0.62,0.62,0.62
65,Multinomial Naive Bayes,active_learning,True,0,False,"[0.6, 0.2, 0.2]",249,81,87,0.48,0.621,0.621,0.591,0.591,0.621,0.631,0.631,0.621,0.621,0.621
66,Multinomial Naive Bayes,active_learning,True,0,False,"[0.8, 0.1, 0.1]",333,39,45,0.638,0.511,0.511,0.476,0.476,0.511,0.486,0.486,0.511,0.511,0.511
