,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
35,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,200,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
36,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,200,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
37,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9583999999999999,0.9583999999999999,0.33140000000000003,0.9384,0.9583999999999999,0.4304,0.9264000000000001,0.9583999999999999,0.33580000000000004,0.9583999999999999
38,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9583999999999999,0.9583999999999999,0.33240000000000003,0.9383999999999999,0.9583999999999999,0.4526,0.9272,0.9583999999999999,0.3362,0.9583999999999999
39,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
40,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.958,0.958,0.3294,0.9381999999999999,0.958,0.3524,0.9212,0.958,0.33480000000000004,0.958
41,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9586,0.9586,0.3356,0.9385999999999999,0.9586,0.5194,0.9318,0.9586,0.3378,0.9586
42,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
43,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.3396,0.9385999999999999,0.9578,0.4224,0.9256,0.9578,0.3404,0.9578
44,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9581999999999999,0.9581999999999999,0.32920000000000005,0.9381999999999999,0.9581999999999999,0.38580000000000003,0.9226000000000001,0.9581999999999999,0.3346,0.9581999999999999
45,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
46,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9581999999999999,0.9581999999999999,0.33840000000000003,0.9385999999999999,0.9581999999999999,0.4640000000000001,0.9284000000000001,0.9581999999999999,0.3396,0.9581999999999999
47,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9586,0.9586,0.3356,0.9385999999999999,0.9586,0.5194,0.9318,0.9586,0.3378,0.9586
48,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
49,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.1, 0.45, 0.45]",39,186,192,0.2822,0.2822,0.23360000000000003,0.23360000000000003,0.2822,0.2894,0.2894,0.2822,0.2822,0.2822
50,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.5, 0.25, 0.25]",207,102,108,0.5188,0.5188,0.4958,0.4958,0.5188,0.5108,0.5108,0.5188,0.5188,0.5188
51,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.9, 0.05, 0.05]",375,18,24,0.5332,0.5332,0.5178,0.5178,0.5332,0.5391999999999999,0.5391999999999999,0.5332,0.5332,0.5332
52,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.1, 0.45, 0.45]",39,186,192,0.4574,0.4574,0.40780000000000005,0.40780000000000005,0.4574,0.6028,0.6028,0.4574,0.4574,0.4574
53,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.5, 0.25, 0.25]",207,102,108,0.5242,0.5242,0.4986,0.4986,0.5242,0.48980000000000007,0.48980000000000007,0.5242,0.5242,0.5242
54,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.9, 0.05, 0.05]",375,18,24,0.45,0.45,0.42860000000000004,0.42860000000000004,0.45,0.5814,0.5814,0.45,0.45,0.45
55,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,True,"[0.1, 0.45, 0.45]",39,186,192,0.5084000000000001,0.5084000000000001,0.4826,0.4826,0.5084000000000001,0.507,0.507,0.5084000000000001,0.5084000000000001,0.5084000000000001
56,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,True,"[0.5, 0.25, 0.25]",207,102,108,0.5851999999999999,0.5851999999999999,0.5576000000000001,0.5576000000000001,0.5851999999999999,0.5708,0.5708,0.5851999999999999,0.5851999999999999,0.5851999999999999
57,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,True,"[0.9, 0.05, 0.05]",375,18,24,0.5332000000000001,0.5332000000000001,0.5292,0.5292,0.5332000000000001,0.5594,0.5594,0.5332000000000001,0.5332000000000001,0.5332000000000001
58,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,False,"[0.1, 0.45, 0.45]",39,186,192,0.593,0.593,0.5741999999999999,0.5741999999999999,0.593,0.5826,0.5826,0.593,0.593,0.593
59,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,False,"[0.5, 0.25, 0.25]",207,102,108,0.5795999999999999,0.5795999999999999,0.5542,0.5542,0.5795999999999999,0.558,0.558,0.5795999999999999,0.5795999999999999,0.5795999999999999
60,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,False,"[0.9, 0.05, 0.05]",375,18,24,0.43339999999999995,0.43339999999999995,0.4104,0.4104,0.43339999999999995,0.43899999999999995,0.43899999999999995,0.43339999999999995,0.43339999999999995,0.43339999999999995
